life_insurer,year,claims_pending_start_no,claims_pending_start_amt,claims_intimated_no,claims_intimated_amt,total_claims_no,total_claims_amt,claims_paid_no,claims_paid_amt,claims_repudiated_no,claims_repudiated_amt,claims_rejected_no,claims_rejected_amt,claims_unclaimed_no,claims_unclaimed_amt,claims_pending_end_no,claims_pending_end_amt,claims_paid_ratio_no,claims_paid_ratio_amt,claims_repudiated_rejected_ratio_no,claims_repudiated_rejected_ratio_amt,claims_pending_ratio_no,claims_pending_ratio_amt,category,efficiency_score,claims_intimated_no_log
ABSL,2021-22,11.0,3.637907524440021,9997.0,876.6850449225901,10008.0,880.3229524470302,9815.0,846.43431385759,186.0,32.98099327508,0.0,0.0,0.0,0.0,7.0,0.9076453143601172,0.9807154276578736,0.9615043110085452,0.0185851318944844,0.0374646522431374,0.0006994404476418,0.0010310367483173,Individual Death Claims,0.9614308553157473,9.210140351973516
Aegon,2021-22,0.0,0.0,720.0,276.48,720.0,276.48,713.0,273.04,6.0,3.42,0.0,0.0,0.0,0.0,1.0,0.0199999999999977,0.9902777777777778,0.9875578703703703,0.0083333333333333,0.0123697916666666,0.0013888888888888,7.233796296295499e-05,Individual Death Claims,0.9805555555555557,6.580639137284949
Ageas,2021-22,50.0,6.698501543,2644.0,128.0327579171999,2694.0,134.73125946019988,2614.0,122.6292489601999,57.0,8.6695374,0.0,0.0,0.0,0.0,23.0,3.432473099999978,0.9703043801039348,0.9101766691079218,0.0211581291759465,0.0643468890199235,0.0085374907201187,0.0254764418721547,Individual Death Claims,0.9406087602078697,7.8804263442924
Aviva,2021-22,0.0,1.0658141036401504e-14,1672.0,270.9491353,1672.0,270.9491353,1645.0,266.6992005,27.0,4.2499348,0.0,0.0,0.0,0.0,0.0,5.329070518200751e-15,0.9838516746411484,0.9843146397374756,0.0161483253588516,0.0156853602625245,0.0,1.9668158425013253e-17,Individual Death Claims,0.9677033492822968,7.422373700986824
Baj Alz,2021-22,5.0,3.7,21045.0,822.2737754914108,21050.0,825.9737754914108,20844.0,771.8780358884093,195.0,44.725080377000005,0.0,0.0,0.0,0.0,11.0,9.370659226001557,0.9902137767220902,0.9345067104935416,0.0092636579572446,0.0541483055565425,0.000522565320665,0.0113449839499159,Individual Death Claims,0.9804275534441806,9.954465797300758
Bharti Axa,2021-22,0.0,0.0,3203.0,243.5880589976307,3203.0,243.5880589976307,3174.0,234.7198948926308,27.0,2.044654105,0.0,0.0,0.0,0.0,2.0,6.82350999999992,0.9909459881361224,0.9635936008460654,0.0084295972525757,0.0083939012175464,0.0006244146113019,0.0280124979363881,Individual Death Claims,0.9818919762722448,8.07215530818825
Can HSBC,2021-22,25.0,5.867974300000001,2788.0,282.23341791599995,2813.0,288.101392216,2769.0,277.7949103980005,41.0,7.806481817999999,0.0,0.0,0.0,0.0,3.0,2.4999999999994413,0.9843583362957696,0.9642261991907616,0.0145751866334873,0.0270963002224827,0.0010664770707429,0.0086775005867555,Individual Death Claims,0.9687166725915394,7.933438387627489
Edelws,2021-22,2.0,3.0,993.0,156.86310377299998,995.0,159.86310377299998,976.0,152.062587865,19.0,7.800515908,0.0,0.0,0.0,0.0,0.0,0.0,0.9809045226130654,0.9512050265264684,0.0190954773869346,0.0487949734735318,0.0,0.0,Individual Death Claims,0.9618090452261308,6.901737206656574
Exide,2021-22,63.0,8.784217400000024,7216.0,309.83329421800016,7279.0,318.6175116180002,7213.0,306.8087789380001,7.0,0.3208976,0.0,0.0,0.0,0.0,59.0,11.487835080000105,0.9909328204423684,0.962937590529682,0.0009616705591427,0.0010071561929236,0.0081055089984888,0.0360552532773942,Individual Death Claims,0.9818656408847369,8.884194633072273
Fut Genli,2021-22,8.0,2.711306,1656.0,83.98179060241003,1664.0,86.69309660241002,1600.0,77.67319543040996,64.0,9.019901172,0.0,0.0,0.0,0.0,0.0,6.039613253960854e-14,0.9615384615384616,0.895955946603604,0.0384615384615384,0.1040440533963952,0.0,6.966659965625168e-16,Individual Death Claims,0.9230769230769231,7.4127640174265625
HDFC,2021-22,178.0,167.23848835,26944.0,2751.005783201996,27122.0,2918.244271551996,26758.0,2608.221586656002,136.0,107.3566806,188.0,171.828822256,17.0,5.65633644,23.0,25.18084559999419,0.9865791608288474,0.8937639703714328,0.0119460216798171,0.0956689971355695,0.0008480200575178,0.0086287655373696,Individual Death Claims,0.9737851190915126,10.201553030367597
ICICI,2021-22,16.0,7.823212343975997,22265.0,3110.2158715408195,22281.0,3118.039083884796,21795.0,2977.495652192047,398.0,112.253637921,0.0,0.0,8.0,0.774485620424,80.0,27.51530815132452,0.9781876935505588,0.9549256991616526,0.0178627530182666,0.0360013569108768,0.0035905031192495,0.0088245552448441,Individual Death Claims,0.9567344374130428,10.010816130288653
Indiafirst,2021-22,15.0,3.95,4922.0,245.576270107,4937.0,249.526270107,4785.0,227.30879027800003,143.0,18.18176921,0.0,0.0,0.0,0.0,9.0,4.035710618999929,0.969212072108568,0.9109613596216832,0.0289649584768077,0.0728651504396848,0.0018229694146242,0.0161734899386319,Individual Death Claims,0.938424144217136,8.5016733797582
Industry,2021-22,3055.0,623.264798311416,1605869.0,47457.27236528031,1608924.0,48080.53716359173,1587110.0,45817.5728745988,12609.0,1099.12039125308,3900.0,192.454832696,2727.0,482.3590348671541,2549.0,469.53943713356335,0.9864418704674676,0.9529338808904464,0.0102608948589243,0.0268627453049153,0.0015842886301652,0.0097656861764247,Individual Death Claims,0.974596686978378,14.289176223761693
Kotak,2021-22,16.0,7.276997686,7117.0,606.3103075589993,7133.0,613.5873052449992,7049.0,586.1454367059971,60.0,19.126574967,0.0,0.0,0.0,0.0,24.0,8.315293572002144,0.9882237487733072,0.9552763424138234,0.0084116080190663,0.0311717253657374,0.0033646432076265,0.0135519322204391,Individual Death Claims,0.9764474975466144,8.870382066070137
LIC,2021-22,1725.0,292.42,1365379.0,29293.46,1367104.0,29585.88,1349865.0,28408.38,8713.0,347.18999999999994,3619.0,8.5,2625.0,461.66,2282.0,360.1499999999964,0.9873901327185056,0.9602006092095284,0.0090205280651654,0.0120222890108389,0.001669221946538,0.0121730365971874,Individual Death Claims,0.9767003827068023,14.126943336136758
Max,2021-22,1.0,0.5,31034.0,2076.813368601999,31035.0,2077.313368601999,30830.0,2008.9432215419968,205.0,68.37014699199999,0.0,0.0,0.0,0.0,0.0,6.800196672429595e-08,0.9933945545352022,0.9670872252143576,0.0066054454647978,0.0329127747529069,0.0,3.2735536078536014e-11,Individual Death Claims,0.9867891090704044,10.342870878847753
PNB Metlife,2021-22,0.0,0.0,8586.0,717.4268524780003,8586.0,717.4268524780003,8357.0,669.6905082580006,224.0,43.20785862,0.0,0.0,3.0,2.0284856,2.0,2.4999999999997544,0.9733286745865364,0.9334617263695694,0.0260889820638248,0.060226151935573,0.0002329373398555,0.0034846758124047,Individual Death Claims,0.947006755182856,9.058004710672485
PVT.,2021-22,1330.0,330.844798311416,240490.0,18163.812365280315,241820.0,18494.65716359173,237245.0,17409.192874598797,3896.0,751.93039125308,281.0,183.954832696,102.0,20.699034867154012,267.0,109.38943713356696,0.9810809693160202,0.9413093046607124,0.0172731783971549,0.0506030047310878,0.0011041270366388,0.0059146507105256,Individual Death Claims,0.9627036638822265,12.390437945790309
Pramerica,2021-22,1.0,0.21,1060.0,52.828706370524046,1061.0,53.03870637052405,1043.0,51.34,16.0,1.5,0.0,0.0,0.0,0.0,2.0,0.198706370524043,0.9830348727615456,0.9679723264994998,0.0150801131008482,0.0282812327570948,0.001885014137606,0.0037464407434053,Individual Death Claims,0.9660697455230913,6.966967138613983
Reliance,2021-22,4.0,1.4819051239999992,13726.0,359.2811494469995,13730.0,360.7630545709995,13548.0,344.1429030129995,174.0,14.482292556999996,0.0,0.0,5.0,1.596379737999999,3.0,0.5414792629999783,0.9867443554260744,0.9539305609390524,0.0126729788783685,0.0401435024277127,0.0002184996358339,0.0015009277034863,Individual Death Claims,0.9738528769118721,9.52711997525166
SBI Life,2021-22,912.0,101.5405695,54874.0,2808.60417088374,55786.0,2910.14474038374,54140.0,2751.5275383125127,1541.0,127.575616245,0.0,0.0,69.0,10.643347468730015,7.0,0.9076453143601172,0.9704943892732945,0.9454950814404126,0.0276234180618793,0.0438382374851147,0.0001254795109884,0.0003118900932193,Individual Death Claims,0.9427454917004268,10.912813150377472
SUD,2021-22,8.0,1.018412,2943.0,170.29835069,2951.0,171.31676269000002,2875.0,156.60075225500003,74.0,14.316010435,0.0,0.0,0.0,0.0,2.0,0.3999999999999879,0.9742460182988816,0.9141005806791436,0.0250762453405625,0.0835645631531399,0.0006777363605557,0.0023348561677166,Individual Death Claims,0.9484920365977634,7.987524479848767
Sahara,2021-22,2.0,0.0237,1164.0,12.823381951000002,1166.0,12.847081951000002,1132.0,12.47292594,16.0,0.313778519,15.0,0.0005,0.0,0.0,3.0,0.0598774920000002,0.9708404802744426,0.9708761871040392,0.0265866209262435,0.0244630274951688,0.0025728987993138,0.004660785400792,Individual Death Claims,0.9416809605488853,7.060476365999801
Shriram,2021-22,11.0,0.98160654,5854.0,202.180575944,5865.0,203.162182484,5620.0,167.39339271600002,163.0,23.578231328,78.0,12.12551044,0.0,0.0,4.0,0.0650479999999742,0.9582267689684568,0.8239397247525782,0.0410912190963341,0.1757400975489709,0.0006820119352088,0.0003201776984508,Individual Death Claims,0.916453537936914,8.675051276031818
Tata AIA,2021-22,2.0,4.4,8067.0,1599.5271973669992,8069.0,1603.9271973669993,7950.0,1518.17,117.0,80.629797404,0.0,0.0,0.0,0.0,2.0,5.127399962999206,0.985252199776924,0.9465329863426608,0.0144999380344528,0.0502702351680061,0.0002478621886231,0.0031967784893331,Individual Death Claims,0.9705043995538482,8.995660899074103
ABSL,2020-21,19.0,3.802882696,6455.0,468.8463574259635,6474.0,472.64924012196354,6347.0,440.2642878843836,116.0,28.747044714,0.0,0.0,0.0,0.0,11.0,3.637907523579965,0.9803830707445166,0.931482060080699,0.0179178251467408,0.0608210958015759,0.0016991041087426,0.007696844117725,Individual Death Claims,0.9607661414890332,8.772765209949785
Aditya Birla Life,2020-21,19.0,3.802882696,6455.0,468.8463574259635,6474.0,472.64924012196354,6347.0,440.2642878843836,116.0,28.747044714,0.0,0.0,0.0,0.0,11.0,3.637907523579965,0.9803830707445166,0.931482060080699,0.0179178251467408,0.0608210958015759,0.0016991041087426,0.007696844117725,Individual Death Claims,0.9607661414890332,8.772765209949785
Aegon,2020-21,0.0,0.0,401.0,107.44,401.0,107.44,398.0,105.98,3.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.9925187032418952,0.9864110201042444,0.0074812967581047,0.0135889798957557,0.0,0.0,Individual Death Claims,0.9850374064837905,5.996452088619021
Ageas,2020-21,5.0,1.4532903373999997,1800.0,87.1273657,1805.0,88.5806560374,1716.0,73.90864701100001,38.0,7.7110335,1.0,0.0485005,0.0,0.0,50.0,6.912475470099998,0.9506925207756232,0.8343655411605299,0.0216066481994459,0.0875985158286005,0.0277008310249307,0.078035948019864,Individual Death Claims,0.9013850415512465,7.496097345175956
Ageas Federal,2020-21,5.0,1.4532903373999997,1800.0,87.1273657,1805.0,88.5806560374,1716.0,73.90864701100001,38.0,7.7110335,1.0,0.0485005,0.0,0.0,50.0,6.912475470099998,0.9506925207756232,0.8343655411605299,0.0216066481994459,0.0875985158286005,0.0277008310249307,0.078035948019864,Individual Death Claims,0.9013850415512465,7.496097345175956
Aviva,2020-21,5.0,0.7783592,1050.0,116.3712508,1055.0,117.14961,1034.0,111.5721176,21.0,5.577492400000001,0.0,0.0,0.0,0.0,0.0,1.0658141036401504e-14,0.9800947867298578,0.9523900045420552,0.0199052132701421,0.0476099954579447,0.0,9.097888619860964e-17,Individual Death Claims,0.9601895734597158,6.957497370876951
Baj Alz,2020-21,2.0,0.650000034999987,14331.0,445.88634941785006,14333.0,446.53634945285006,14115.0,410.6768054422,213.0,32.15954400299999,0.0,0.0,0.0,0.0,5.0,3.700000007650047,0.9847903439614876,0.919694009111264,0.0148608107165282,0.072019991300609,0.0003488453219842,0.0082859995881269,Individual Death Claims,0.9695806879229751,9.570250078424845
Bajaj Allianz,2020-21,2.0,0.650000034999987,14331.0,445.88634941785006,14333.0,446.53634945285006,14115.0,410.6768054422,213.0,32.15954400299999,0.0,0.0,0.0,0.0,5.0,3.700000007650047,0.9847903439614876,0.919694009111264,0.0148608107165282,0.072019991300609,0.0003488453219842,0.0082859995881269,Individual Death Claims,0.9695806879229751,9.570250078424845
Bharti Axa,2020-21,2.0,1.1533918,1891.0,106.44493664749488,1893.0,107.59832844749488,1875.0,106.03520461049494,18.0,1.563123837,0.0,0.0,0.0,0.0,0.0,0.0,0.9904912836767036,0.9854726011123612,0.0095087163232963,0.0145273988876394,0.0,0.0,Individual Death Claims,0.9809825673534073,7.545389749611823
Can HSBC,2020-21,2.0,2.0,1897.0,166.53792392081817,1899.0,168.53792392081817,1844.0,156.07572638381868,30.0,6.5942232370000005,0.0,0.0,0.0,0.0,25.0,5.867974299999497,0.9710373880989994,0.9260570128842074,0.0157977883096366,0.0391260499927486,0.0131648235913638,0.0348169371230439,Individual Death Claims,0.942074776197999,7.5485559791698735
Canara HSBC OBC,2020-21,2.0,2.0,1897.0,166.53792392081817,1899.0,168.53792392081817,1844.0,156.07572638381868,30.0,6.5942232370000005,0.0,0.0,0.0,0.0,25.0,5.867974299999497,0.9710373880989994,0.9260570128842074,0.0157977883096366,0.0391260499927486,0.0131648235913638,0.0348169371230439,Individual Death Claims,0.942074776197999,7.5485559791698735
Edelweiss Tokio,2020-21,0.0,0.0,502.0,52.08913801200001,502.0,52.08913801200001,487.0,45.8282796948095,13.0,3.2608583170000003,0.0,0.0,0.0,0.0,2.0,3.000000000190504,0.9701195219123506,0.8798049160316656,0.0258964143426294,0.0626015027595346,0.0039840637450199,0.0575935812087998,Individual Death Claims,0.9402390438247014,6.220590170099739
Edelws,2020-21,0.0,0.0,502.0,52.08913801200001,502.0,52.08913801200001,487.0,45.8282796948095,13.0,3.2608583170000003,0.0,0.0,0.0,0.0,2.0,3.000000000190504,0.9701195219123506,0.8798049160316656,0.0258964143426294,0.0626015027595346,0.0039840637450199,0.0575935812087998,Individual Death Claims,0.9402390438247014,6.220590170099739
Exide,2020-21,38.0,9.048578000000006,5014.0,173.65543904124996,5052.0,182.70401704125,4978.0,170.43014094124996,11.0,3.4896587,0.0,0.0,0.0,0.0,63.0,8.784217400000024,0.9853523357086302,0.9328209839128556,0.0021773555027711,0.0191000655404972,0.0124703087885985,0.048078950546647,Individual Death Claims,0.9707046714172607,8.520188700396035
Exide Life,2020-21,38.0,9.048578000000006,5014.0,173.65543904124996,5052.0,182.70401704125,4978.0,170.43014094124996,11.0,3.4896587,0.0,0.0,0.0,0.0,63.0,8.784217400000024,0.9853523357086302,0.9328209839128556,0.0021773555027711,0.0191000655404972,0.0124703087885985,0.048078950546647,Individual Death Claims,0.9707046714172607,8.520188700396035
Fut Genli,2020-21,3.0,0.31135,1223.0,55.473135144000025,1226.0,55.78448514400002,1163.0,48.11054702900007,55.0,4.959686694,0.0,0.0,0.0,0.0029454209999999,8.0,2.711305999999956,0.9486133768352364,0.8624359784769774,0.0448613376835236,0.0889079944216971,0.0065252854812398,0.0486032270980199,Individual Death Claims,0.897226753670473,7.1098794630722715
Future Generali,2020-21,3.0,0.31135,1223.0,55.473135144000025,1226.0,55.78448514400002,1163.0,48.11054702900007,55.0,4.959686694,0.0,0.0,0.0,0.0029454209999999,8.0,2.711305999999956,0.9486133768352364,0.8624359784769774,0.0448613376835236,0.0889079944216971,0.0065252854812398,0.0486032270980199,Individual Death Claims,0.897226753670473,7.1098794630722715
HDFC,2020-21,35.0,17.578717205,16941.0,1277.962531953428,16976.0,1295.541249158428,16639.0,1037.232953660431,84.0,39.981818516,58.0,47.954496996,17.0,3.1334916360000005,178.0,167.23848834999703,0.9801484448633364,0.8006174672818857,0.0083647502356267,0.0678761217129309,0.0104853911404335,0.1290877372361811,Individual Death Claims,0.9612983034872763,9.737551024991497
HDFC Life,2020-21,35.0,17.578717205,16941.0,1277.962531953428,16976.0,1295.541249158428,16639.0,1037.232953660431,84.0,39.981818516,58.0,47.954496996,17.0,3.1334916360000005,178.0,167.23848834999703,0.9801484448633364,0.8006174672818857,0.0083647502356267,0.0678761217129309,0.0104853911404335,0.1290877372361811,Individual Death Claims,0.9612983034872763,9.737551024991497
ICICI,2020-21,95.0,43.70162686145701,14734.0,1643.0487730524314,14829.0,1686.7503999138885,14518.0,1504.6436179844766,289.0,174.13591671199998,0.0,0.0,6.0,0.1476528215914,16.0,7.823212395820526,0.9790275810911052,0.8920369119588122,0.0194888394362398,0.1032375132212151,0.0010789668892035,0.0046380379670992,Individual Death Claims,0.9584597747656619,9.597980895171796
ICICI Prudential,2020-21,95.0,43.70162686145701,14734.0,1643.0487730524314,14829.0,1686.7503999138885,14518.0,1504.6436179844766,289.0,174.13591671199998,0.0,0.0,6.0,0.1476528215914,16.0,7.823212395820526,0.9790275810911052,0.8920369119588122,0.0194888394362398,0.1032375132212151,0.0010789668892035,0.0046380379670992,Individual Death Claims,0.9584597747656619,9.597980895171796
