employee_id,job_title,department,start_date,end_date,salary,bonus,benefits,salary_type,currency
63,Desktop Support Technician,426,1/23/2012,4/30/2012,159404.6,48014.51,retirement plan,hourly,CNY
933,Programmer Analyst III,953,7/13/2003,10/12/2016,63786.47,37710.78,paid time off,salary,MYR
777,Associate Professor,196,4/11/2020,4/16/2001,80116.17,32613.22,retirement plan,hourly,CNY
917,Automation Specialist IV,663,11/23/2012,7/30/2006,189759.66,8865.5,health insurance,salary,CNY
126,Staff Scientist,24,3/4/2004,2/3/2003,23217.72,17304.72,retirement plan,hourly,IDR
995,Structural Engineer,667,3/12/2000,11/6/2006,53186.94,44756.48,health insurance,salary,EUR
466,Statistician IV,921,5/6/2021,11/26/2008,119067.4,48954.73,paid time off,salary,CNY
18,Technical Writer,961,3/1/2000,10/4/2000,66692.84,12873.76,health insurance,salary,CDF
954,Occupational Therapist,779,5/12/2016,3/17/2018,187223.71,36159.53,paid time off,hourly,TZS
400,Software Test Engineer IV,399,6/5/2005,11/25/2009,73213.25,42076.84,paid time off,hourly,MWK
496,Assistant Media Planner,556,6/6/2021,6/14/2012,161849.12,41660.39,retirement plan,hourly,IDR
829,Health Coach IV,887,12/7/2006,6/4/2001,39752.72,37232.91,health insurance,hourly,CAD
981,Physical Therapy Assistant,445,5/2/2009,9/19/2012,108290.65,41534.35,health insurance,salary,EUR
313,Staff Accountant III,832,3/21/2003,2/20/2006,174367.69,53.46,health insurance,salary,EUR
941,Nurse,95,11/18/2012,11/19/2013,133953.27,6558.79,retirement plan,salary,EUR
789,Web Designer III,711,8/6/2006,8/11/2012,53439.49,21434.57,retirement plan,salary,CNY
896,VP Accounting,756,5/3/2007,2/9/2000,182117.69,40532.7,paid time off,hourly,EUR
169,Administrative Officer,883,6/7/2015,6/6/2019,181492.31,32646.05,retirement plan,salary,RUB
911,VP Sales,417,2/24/2000,11/24/2013,55097.26,42889.59,health insurance,salary,MUR
228,Junior Executive,548,6/1/2020,9/18/2020,129218.88,8654.81,health insurance,salary,CNY
737,Software Test Engineer II,765,8/6/2019,4/23/2015,148688.51,29734.27,paid time off,salary,UZS
940,Product Engineer,406,11/13/2003,1/21/2014,24874.26,4598.76,retirement plan,hourly,IDR
873,Junior Executive,554,9/3/2000,5/12/2005,90440.27,6670.9,paid time off,hourly,IDR
641,Geological Engineer,778,6/17/2011,8/26/2017,157328.4,35048.91,paid time off,salary,JPY
971,Teacher,870,9/20/2015,10/15/2020,35061.85,42590.5,retirement plan,salary,MXN
143,Occupational Therapist,620,12/13/2007,6/21/2001,41877.81,35228.17,health insurance,hourly,USD
805,Biostatistician IV,908,5/1/2011,1/20/2021,195285.21,42919.69,health insurance,salary,EUR
998,Research Assistant IV,995,3/20/2015,7/30/2015,88353.81,35646.41,paid time off,salary,BRL
432,Safety Technician IV,397,10/7/2016,1/2/2016,141021.75,16526.03,retirement plan,salary,PHP
323,GIS Technical Architect,329,12/17/2017,2/11/2009,125542.13,1062.55,paid time off,hourly,COP
237,Geologist I,902,8/7/2015,6/23/2016,32045.43,13596.92,paid time off,hourly,EUR
508,Safety Technician I,400,6/22/2015,5/1/2006,23933.53,18140.39,paid time off,hourly,IDR
964,Chemical Engineer,431,12/19/2015,4/12/2011,68937.37,48131.18,paid time off,salary,JPY
492,Web Developer II,368,5/13/2016,1/18/2017,92320.11,34280.29,retirement plan,salary,IRR
46,Data Coordinator,25,12/19/2021,9/12/2009,172349.17,15773.7,paid time off,salary,CNY
257,Accounting Assistant III,632,12/3/2000,5/20/2022,54490.79,41687.48,retirement plan,salary,CRC
809,Office Assistant IV,646,3/27/2009,2/14/2022,181198.31,41180.76,health insurance,hourly,YER
479,Health Coach II,164,9/1/2014,11/29/2009,125964.22,40027.67,paid time off,salary,CNY
31,Quality Engineer,397,8/31/2011,10/29/2011,143453.13,20074.47,retirement plan,hourly,ALL
959,Staff Scientist,110,7/19/2002,4/17/2008,53188.57,4192.94,retirement plan,hourly,SEK
422,Information Systems Manager,544,4/19/2000,4/5/2022,48918.8,30624.85,health insurance,salary,IDR
954,Cost Accountant,618,4/27/2002,11/8/2000,139136.49,3509.38,retirement plan,salary,ALL
388,Desktop Support Technician,881,2/26/2010,7/17/2014,172315.23,15662.07,paid time off,hourly,IDR
415,Computer Systems Analyst IV,984,6/20/2018,10/30/2008,63256.92,6933.71,paid time off,hourly,HRK
566,Quality Engineer,179,9/1/2006,4/29/2018,61351.76,44628.24,health insurance,hourly,CAD
333,Analyst Programmer,282,10/25/2013,9/28/2014,90499.2,30035.93,retirement plan,hourly,UYU
572,Dental Hygienist,1,9/3/2011,8/3/2018,177047.24,11530.86,paid time off,salary,THB
427,Associate Professor,832,2/16/2019,11/20/2014,75249.1,45389.87,health insurance,salary,UAH
708,Nuclear Power Engineer,818,2/12/2013,7/5/2016,140426.5,23385.45,health insurance,hourly,AZN
721,VP Sales,167,2/10/2004,10/24/2008,40020.43,37844.5,paid time off,salary,JPY
82,Research Assistant II,338,6/21/2001,2/7/2019,175911.3,22103.41,retirement plan,salary,IDR
406,Account Coordinator,515,11/7/2013,11/3/2020,35521.78,20970.25,retirement plan,hourly,CNY
937,Compensation Analyst,933,10/10/2001,1/8/2001,153054.11,46976.73,paid time off,salary,AOA
123,Actuary,99,10/22/2000,6/12/2018,52875.22,19760.55,paid time off,salary,RUB
92,Biostatistician IV,319,4/20/2022,8/17/2009,133212.54,20212.35,health insurance,salary,TND
612,Developer IV,667,5/29/2012,8/3/2007,183222.3,2448.98,health insurance,salary,USD
943,Librarian,502,6/5/2020,8/27/2016,84985.35,14821.42,retirement plan,hourly,AUD
635,Automation Specialist IV,312,1/14/2006,4/8/2004,36101.39,30349.09,paid time off,salary,IRR
659,GIS Technical Architect,143,10/10/2006,6/6/2014,23003.64,27759.97,paid time off,salary,EUR
842,Nurse,137,7/27/2011,5/30/2000,99014.65,5343.54,paid time off,salary,ISK
664,Media Manager II,156,6/20/2004,9/10/2011,93697.94,20691.07,retirement plan,hourly,EUR
529,Compensation Analyst,914,4/26/2002,11/20/2002,172402.59,5555.96,health insurance,hourly,USD
734,Administrative Assistant II,11,12/1/2002,2/6/2004,88509.35,42764.42,retirement plan,salary,SEK
690,Pharmacist,530,3/14/2010,11/5/2006,176690.0,5397.97,paid time off,hourly,AZN
955,Geological Engineer,103,7/26/2008,9/16/2009,94025.44,31558.17,retirement plan,hourly,CNY
592,Analog Circuit Design manager,331,7/4/2018,1/16/2020,83514.25,22601.52,health insurance,hourly,ARS
248,Assistant Media Planner,939,11/4/2013,8/22/2000,195134.95,16102.73,health insurance,salary,COP
104,Accountant IV,860,11/30/2005,10/22/2005,177443.19,11395.63,paid time off,salary,RUB
847,Senior Cost Accountant,463,4/16/2010,4/26/2016,131621.57,26309.29,health insurance,hourly,RUB
682,Design Engineer,982,1/21/2016,12/4/2017,147367.07,28522.55,paid time off,salary,CNY
457,Technical Writer,647,2/24/2014,7/29/2000,64418.28,4894.09,retirement plan,salary,CAD
267,Paralegal,757,10/3/2006,3/29/2016,53859.21,8854.7,paid time off,hourly,CNY
214,Librarian,795,5/1/2000,4/19/2004,93334.26,34156.27,health insurance,salary,AMD
765,Senior Editor,646,3/26/2018,6/27/2010,109244.44,15101.2,health insurance,hourly,CNY
